aikido_issue_id,aikido_issue_group_id,type,status,severity,severity_score,original_cvss_severity_score,affected_package,affected_file,affected_domain,related_license,related_cve,rule,code_repo,code_repo_branch,cloud,cloud_resource,container,virtual_machine,first_detected_at,closed_at,ignored_at,ignored_by,ignore_reason,snooze_reason,start_line,end_line,time_to_fix_minutes,sla_date,cwe_description,installed_version,patched_version
113974837,18504055,sast,open,medium,50,50,,tools/migrate_tags.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,253,253,60,,,,
113974838,18504055,sast,open,medium,50,50,,tools/traceability/contract_extractor.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,467,467,60,,,,
113974839,18504055,sast,open,medium,50,50,,tools/traceability/contract_extractor.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,542,542,60,,,,
113974840,18504055,sast,open,medium,50,50,,traigent/cli/main.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,515,515,60,,,,
113974845,18504055,sast,open,medium,50,50,,traigent/core/optimized_function.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,1872,1872,60,,,,
113974848,18504055,sast,open,medium,50,50,,traigent/hooks/installer.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,174,174,60,,,,
113974853,18504055,sast,open,medium,50,50,,traigent/security/crypto_utils.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,342,342,60,,,,
113974855,18504055,sast,open,medium,50,50,,traigent/security/encryption.py,,,,"Potential file inclusion attack via reading file",Traigent,main,,,,,2025-12-05,,,,,,307,307,60,,,,
114036060,18504055,sast,open,medium,50,50,,scripts/ci/evaluate_security_reports.py,,,,"Potential file inclusion attack via reading file",TraigentBackend,main,,,,,2025-12-05,,,,,,167,167,60,,,,
114036063,18504055,sast,open,medium,50,50,,scripts/code_analysis/inventory.py,,,,"Potential file inclusion attack via reading file",TraigentBackend,main,,,,,2025-12-05,,,,,,166,166,60,,,,
114036066,18504055,sast,open,medium,50,50,,scripts/code_analysis/run_analysis.py,,,,"Potential file inclusion attack via reading file",TraigentBackend,main,,,,,2025-12-05,,,,,,110,110,60,,,,
114036068,18504055,sast,open,medium,50,50,,scripts/code_analysis/viz_clusters.py,,,,"Potential file inclusion attack via reading file",TraigentBackend,main,,,,,2025-12-05,,,,,,376,376,60,,,,
